id,X1_X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5,Y6,age,gender
S001,2.4419936329978_-0.312829207530606,37.27805604243432,5.463716480253636,one,0.9079135850378275,317.6629509648657,27.47733970797708,19.426446722331164,28.872602780730396,25.44400156331478,29,female
S002,NA_NA,34.839133633093034,7.511528726267279,1,0.4137502318102593,369.66048177693875,44.00172549464632,35.54348294028694,10.247876181791273,35.402651535460606,32,male
S003,2.01005431875211_1.16736649959261,28.884682392511994,NA,1,2.1096634692695457,367.50822194520015,25.55381840964639,17.723902866768977,32.34029016589674,24.280866293413588,48,male
S004,-1.10560368828589_-0.944987028185681,36.430433470505236,NA,1,-2.3699590578889684,373.6232060774996,33.69232090728249,28.7294388500288,39.71157597459026,40.51428927709166,20,female
S005,NA_1.5771024577878,26.495561827984456,9.251069576173053,1,-0.11065711037400544,329.0559033342172,22.469753131734695,35.84048259777203,31.826831962583817,29.414108305246863,48,female
S006,-0.0569273403874714_1.37697014040202,NA,NA,1,-0.1754248239152493,458.23380662979736,46.92182726388552,31.129623578905306,36.807131256970926,32.38961739168243,38,female
S007,0.967315302836415_1.18588156054337,39.01684806857303,6.94223432030096,1,0.7257626395205123,NA,26.798193826636492,27.51729461111565,36.716969031104995,13.343865881056352,46,male
S008,0.761675322472696_0.675205862989766,26.907223208273237,6.123563877290285,NA,NA,248.07787666485893,35.87643184842341,39.16112770560004,54.13019540675076,36.687715326311015,33,male
S009,2.99289300348397_0.0761328092655762,31.255522802502718,4.42149934634023,1,0.9261933453081057,230.86205507181143,30.62627429867912,32.42134652037201,26.156723640956862,28.942400033228175,38,male
S010,3.60144071435309_0.534935492202807,27.733727074973164,6.763165298425659,NA,1.1650337340784556,279.54568213196757,15.616679305757765,0.4852878966985763,NA,14.367673018123343,45,female
S011,-0.729068177745214_-1.40315526245654,31.10743469265779,NA,1,-2.081916565482178,315.72679671861624,36.99177471961524,35.67597789322476,36.58356113113197,43.157635416579936,21,male
S012,1.55144035860606_3.30132260350785,33.50920997099741,7.9717349901197805,1,1.6070847963302597,392.1358697122453,29.668631704634315,31.099101034476902,41.665548314992655,48.97186429322859,35,female
S013,1.65537529744874_1.65717689528107,26.871917759421212,7.771242957827775,1,-0.9887007334619801,306.73896382640214,34.04025611657813,21.57034084455487,20.874283021389196,35.94132590457939,60,male
S014,2.4598270735876_0.0980162133487086,35.395032468502116,5.597062510927077,1,0.7074658589617997,NA,39.164046155639745,34.4724731065952,27.13342654007797,27.258856195686885,24,male
S015,0.75586918967257_-1.469395655106,25.492459604922036,9.101022318390118,1,NA,303.5793943332767,21.459346477168303,NA,19.600700948321485,1.5695407914665829,44,female
S016,0.947406118372954_-0.0368481911620053,23.21184407695769,7.248668317774351,1,0.5501909280139687,231.7747879232114,21.556081181595403,22.954099564416396,26.18099226040144,27.515795382196472,30,female
S017,1.78399899738916_1.27964346084568,17.86169544437714,7.9618675407515775,1,0.5374396892490657,221.47159697422046,18.484123570965924,24.73497506524089,22.490831607927834,28.50455989894326,22,male
S018,2.41738259630418_-0.791777369931443,27.42508070358744,8.563894947941456,1,0.03901595446669781,323.90976740876357,42.469949952524956,37.603779179445425,26.53379153413447,38.566869759119385,27,female
S019,3.35826849746402_NA,36.531941254151704,8.124295979832649,1,2.825648901029682,392.6466410199056,29.02941413326182,21.797808475852044,27.400169937482932,NA,39,female
S020,-1.480142427096_-0.528868830312706,31.15928110527561,4.5077802664381865,1,-1.0508309667479536,245.40525007609807,23.08519144438244,11.52284738742561,9.626294118388248,20.73420837210884,52,male
S021,3.89476988262909_0.440566847228069,21.974974433643947,8.051502753060566,1,1.122758677866631,260.4572029613696,34.776481623446465,NA,44.090454852732094,30.57948726611195,52,female
S022,2.81295978279162_1.21413666686719,32.02706851520111,8.49142245871558,1,1.806468854733613,NA,29.583556264882578,21.907491301967035,24.70390624426945,37.24135978225509,25,male
S023,1.47206864617005_0.0582828566348903,29.64006165405574,6.855402223247929,1,0.30324241454038026,333.02663219020195,49.362527932772764,42.39379184342112,39.16187635733563,32.74711049525769,27,female
S024,0.277010878977313_0.683863333875508,26.357283375705777,8.200504436750048,1,0.7029988070062856,275.57147230058285,26.581915819003736,21.247475050600467,35.79734223305284,12.95418305392382,40,non-binary
S025,1.82576358760802_1.41217855512262,24.090512963362972,6.691011789619962,1,2.522960094947318,283.32231743473915,NA,24.766278694851692,18.25952461139041,16.249368367925886,53,female
S026,0.352343170290238_-0.929253698573332,24.344143796255274,7.0369760894062745,1,-0.0595182919979728,257.5482762854424,30.491946892471354,37.13658945676921,NA,NA,20,female
S027,1.35976415694243_0.289885390963734,NA,6.460361478348144,1,0.8971729343817265,236.33579056345806,29.280660273334664,36.938475540628616,42.313763827162006,43.68074051079352,18,female
